claim,label,prediction
Alexandra Daddario was born in the seventies.,0,0
Foot Locker is exclusively a technology retailer.,0,0
Aestheticism favors aesthetics over socio-political themes.,1,1
The Hunger Games film series' first film was directed by a gorilla.,0,0
The Love Club EP is the debut extended play of singer Ella Marija Lani Yelich-O'Connor.,1,1
The Blue Dog Coalition was formed in the United States.,1,1
Victoria (Dance Exponents song) was first released in New Zealand in 1998.,0,0
The Faroe Islands existed.,1,1
Ed and Lorraine Warren were squids.,0,0
"In 2002, The Adventures of Pluto Nash was released.",1,1
Story of My Life was recorded exclusively by a girl band.,0,0
"Heaven Can Wait is a film adaptation of Harry Segall's play ""Hamlet"".",0,0
Anne Rice lived in the US.,1,1
Chris Mullin played with a team that was based out of Indianapolis.,1,1
Meteora is by Linkin Park.,1,1
The Cincinnati Kid is only a book.,0,0
Dan O'Bannon worked primarily in two genres.,1,1
Savages was created in 1954.,0,0
The 2007 Toronto International Film Festival featured The Tracey Fragments.,1,1
Luke Cage was not part of a team.,0,0
Babur was the third Mughal emperor.,0,0
Issa Rae appears in Awkward Black Girl.,1,1
Harris Jayaraj is an American film composer.,0,0
Jennifer Lopez only made non-studio albums.,0,0
Same Old Love is only a book.,0,0
Harry Fraud is a hip hop producer.,1,1
MSG has a savory taste similar to that of glutamate.,1,1
Charles de Gaulle was a leader.,1,1
Marvel vs. Capcom: Infinite is part of a series.,1,1
Tim McGraw had a supporting role in The Blind Side.,1,1
Meteora is an album by an American carpenter.,0,0
Mani Ratnam is widely credited with altering the profile of Indian cuisine.,0,0
The Bassoon King is a mountain.,0,0
The Boeing 767 is an cruise liner .,0,0
Theresa May has always been unemployed.,0,0
George Harrison was married to Pattie Boyd in 1970.,0,0
Liverpool is in the United States.,0,0
The Maze Runner is a sports competition.,0,0
Nuuk's location is Greenland.,1,1
The Burj Khalifa contains elevators.,1,1
Gotham City Sirens is a comic book series from the United States.,1,1
Exotic Birds refused to be an opening band for a band from Minneapolis.,0,0
Arizona is not a part of the United States.,0,0
West Virginia only borders Maine to the northwest.,0,0
Jewell worked with Dr. Dre.,1,1
Global warming will result in the expansion of permafrost.,0,0
Quay premiered in the 2010s.,1,1
DodgeBall: A True Underdog Story 's writer and director was Rawson Marshall.,1,1
Kerplunk was released through online sale only.,0,0
Kleshas manifest in exclusively wholesome actions.,0,0
Jason Bourne has Julia Stiles as part of the cast.,1,1
Annie is a only a painting.,0,0
Tatum O'Neal spent her whole life single.,0,0
Amyotrophic lateral sclerosis is a cure.,0,0
Edgar Wright is from England.,1,1
A staging area is only an unused piece of land.,0,0
Levoamphetamine is a stimulant.,1,1
Two and a Half Men is an British television sitcom.,0,0
Carlos Santana formed Santana in Florida.,0,0
Cheese in the Trap (TV series) stars Batman.,0,0
The Pelican Brief is based on a novel by John Grisham.,1,1
Arjit Singh is a person.,1,1
Trevor Griffiths was born in an outer city area.,0,0
The Times is a newspaper.,1,1
Fidaa is only a television show.,0,0
Homer Hickman wrote the Josh Thurlow science fiction novels.,0,0
Mogadishu is located in Italy.,0,0
Boxing Helena has yet to be judged by any critic.,0,0
Recovery is an Eminem album.,1,1
Andrew Kevin Walker was shunned by the BAFTA for his screenwriting.,0,0
"Simi Valley, California, reported a median household income of $69,723 in the 2012 U.S. Census.",0,0
Less than half of the population counted as Romani people in the Republic of Macedonia.,1,1
"Scaramouche translates as ""little skirmisher"".",1,1
Trouble with the Curve is only a podcast.,0,0
Saxony is a country.,0,0
Rabies is a disease.,1,1
Ron Weasley is part of the Twilight series.,0,0
Henry III assumed the throne when he was 9 years old in 1246.,0,0
Dakota Fanning was involved with creative work.,1,1
Justin Chatwin is an actor.,1,1
Emmanuel Macron worked as a banker.,1,1
Anxiety has been linked to other ailments.,1,1
Brick (film) is an American adventure film.,0,0
Wildfang is a US-based women's apparel company featuring hats that are tomboyish in style.,1,1
Pitch Perfect 2 centers on a fictional high school.,0,0
Recovery is the third studio album by Marshall Mathers III.,0,0
Macklemore works with Ryan Lewis.,1,1
Despicable Me 2 was produced by Yahoo.,0,0
There is only one version of Despacito.,0,0
Tatum O'Neal married a professional golf player.,0,0
Qui-Gon Jinn is a writer in the Star Wars franchise.,0,0
Marjorie Gross wrote for American sitcoms.,1,1
Amyotrophic lateral sclerosis is a cure.,0,0
"The electric chair is an optional form of execution in Alabama, Florida, South Carolina, and Virginia.",1,1
Paul von Hindenburg was a man.,1,1
Britt Robertson is an actress.,1,1
Stomp the Yard stars an American choreographer and actor.,1,1
MS-13 is a car.,0,0
Yale University's alumni includes five U.S. Presidents.,1,1
Acetylcholine prevents neuromodulation.,0,0
The Brat Pack is a nickname given to a group of five young actors.,0,0
Pearl Jam is a band.,1,1
A near-Earth object is not a planet and it is in the universe.,1,1
Al Jardine was unable to sing.,0,0
The Wonder Years was only a book.,0,0
Stripes had a person appear in it.,1,1
The Hundred Years' War includes a war.,1,1
"Duane Chapman's nickname is ""Cat.""",0,0
Caroline Kennedy served as United States Ambassador to Germany.,0,0
John Dolmayan is a person.,1,1
"Deepika Padukone's acting career includes comedies, dramas, and romances.",1,1
Emmanuel Macron worked as an investment banker at Rothschild & Cie Banque.,1,1
Henry III assumed the throne in the middle of the Punic War.,0,0
Samwell Tarly appears in novels by George R. R. Martin.,1,1
Drake Bell released an album.,1,1
Vedic Sanskrit is the language of certain compiled texts.,1,1
Mercedes-Benz is a vehicle manufacturer.,1,1
The Times is a newspaper.,1,1
Croatia is incapable of rendering services.,0,0
Uranium is an elemental chemical.,1,1
Port of Spain is devoid of retail and administration.,0,0
Middle-earth was created by a Canadian writer.,0,0
CHiPs is based on a TV series of the same name.,1,1
Therasia is a recipe.,0,0
Ann Richards was the head of the executive branch of a state government.,1,1
Manmohan Singh was only the second follower of Sikhism in office.,0,0
Anushka Sharma starred in a film.,1,1
Gotham City Sirens contained no art.,0,0
"With Singapore Airlines, the Airbus A380 entered commercial service.",1,1
Fraud is to deprive a villain of a legal right.,0,0
Gory Guerrero was a wrestler.,1,1
No Strings Attached came out in 2000.,0,0
Fist of Legend is a remake of a poem by Lo Wei.,0,0
Philomena was nominated.,1,1
James Brolin was never born.,0,0
Johnny Van Zant is incapable of being a musician.,0,0
Benzodiazepine is a medication.,1,1
Vietnam is a populous country.,1,1
The Paper stars a horse.,0,0
Blade Runner 2049 stars the actor Ryan Gosling.,1,1
Valencia is a village.,0,0
Woodrow Wilson lived in a section of the 1900s.,1,1
Brent Mydland was a member of the Grateful Dead.,1,1
Britt Robertson is an actress.,1,1
Margaret Thatcher was a person.,1,1
Mount Hood is in Hawaii.,0,0
Ragtime is the final film appearance of James Cagney.,1,1
The Premier League Asia Trophy is for golf.,0,0
Poseidon earned $160 million.,0,0
Keegan-Michael Key has yet to play anyone.,0,0
Edison Machine Works was founded to make dynamos.,1,1
Trouble with the Curve stars an actor.,1,1
Meteora is an album.,1,1
Jenna Jameson has only been in newspaper advertising.,0,0
Rachel Green is a nonfictional character.,0,0
Mandy Moore is part of the music industry.,1,1
Arjit Singh is male.,1,1
Vedam stars only Canadian film actors and actresses.,0,0
Liverpool is a tourist destination.,1,1
Lorelai Gilmore's boat is named Emily.,0,0
A Milli is a building by a hip hop recording artist.,0,0
Michael Hutchence has yet to die.,0,0
The Bengal tiger has only spots.,0,0
Michaela Watkins is a comedian.,1,1
Sidse Babett Knudsen works in entertainment.,1,1
The Maltese language is a language that is Semitic.,1,1
Britt Robertson is an actress.,1,1
Backing vocalists provide instrumental harmony.,0,0
Liverpool is in the United Kingdom.,1,1
Moesia excluded Romanian Dobrudja.,0,0
Tottenham Hotspur F.C. is a football club.,1,1
A Milli is a song by Lil Wayne.,1,1
Tatum O'Neal spent her life single.,0,0
Captain America's shield is used by the superhero name Captain America.,1,1
One Flew Over the Cuckoo's Nest came out in 1930.,0,0
Scream 2 is a film created in the United States.,1,1
Fred Armisen is a frog.,0,0
Sexual slavery is a reason for human trafficking.,1,1
FC Bayern Munich was founded in 2000.,0,0
Tom Baker is incapable of getting involved with narrating audio books.,0,0
Woodrow Wilson lived.,1,1
Sands Hotel and Casino was originally a casino with 200 rooms.,0,0
2005 was the year Stanley Williams was executed.,1,1
Shape of You was number one on the US Billboard Hot 100 chart.,1,1
Psych's protagonist is acted by an American.,1,1
Amy Winehouse died of nicotine poisoning.,0,0
Roland Emmerich is a closeted gay.,0,0
Ares is not a God.,0,0
Justine Bateman is in the arts.,1,1
Julie Bowen is Taiwanese.,0,0
Michigan is the largest state.,0,0
Solanum excludes the nightshades.,0,0
The 2003 NCAA Division I Men's Basketball Tournament was played.,1,1
P.S I Love You (film) is a American drama film.,1,1
"In 2016, Emilia Clarke was named Esquire's Sexiest Woman Alive.",0,0
Ghost was released in 1990.,1,1
Macklemore is not a hip hop artist.,0,0
Baadshah had at least three languages dubbed over it.,1,1
Barcelona has a population of 1.6 thousand.,0,0
The IPhone 4 is a type of telephone.,1,1
I Want to Know What Love Is is a song.,1,1
Jenna Jameson has only been in newspaper advertising.,0,0
XHamster's The Sex Factor makes eight men and eight women compete to become an actor.,1,1
Japan consists of islands.,1,1
Penélope Cruz has modeled for cosmetics company L'Oréal.,1,1
The Bahamas is a city.,0,0
Houses became Virginia's most valuable export in 2002.,0,0
Billboard Dad was directed by a parrot.,0,0
"Matteo Renzi was born on January 11th, 1975.",1,1
The Alfred P. Murrah Federal Building was only located at 300 N.W. 5th Street.,0,0
Caleb McLaughlin is involved with creative work.,1,1
Manchester by the Sea is a movie.,1,1
Andrew Carnegie called on the wealthy to improve society.,1,1
Jean-Jacques Dessalines ruled over a territory.,1,1
I Kissed a Girl is an album.,0,0
Tenacious D was certified platinum.,1,1
Captain America's shield is used as a type of equipment.,1,1
John Frusciante is a musician.,1,1
TV Choice runs from Saturday to Friday.,1,1
King Edward the First's occupation of north Scotland was opposed by Andrew Moray.,1,1
Varsity Blues (film) made zero profits and revenue.,0,0
One Flew Over the Cuckoo's Nest came out in 1930.,0,0
Ann Biderman is an American television writer.,1,1
Ann Biderman refuses to be a television writer.,0,0
"Gray Matter Interactive Studios, Inc. was a developer.",1,1
Gory Guerrero was a wrestler.,1,1
Natural Born Killers was based upon Tarantino's original screenplay without revision.,0,0
Muscarinic acetylcholine receptors are in the cell membranes of certain codes.,0,0
A thunderstorm can also be called an hurricane.,0,0
Benjamin Franklin was a spokesman.,1,1
"Beaverton, Oregon's city center is seven miles west of downtown Portland in the Tualatin River Valley.",1,1
French Indochina was a grouping of French colonial territories in 1995.,0,0
"In 1992, Prague's historic center was added to UNESCO's list of World Heritage Sites.",1,1
Gotham City Sirens was illustrated by a river.,0,0
"Fabian Nicieza died December 31, 1961.",0,0
Michael B. Jordan acts.,1,1
Martin Van Buren was Secretary of State.,1,1
The Road to El Dorado is a television series.,0,0
Croatia is incapable of rendering services.,0,0
Georges Gilles de la Tourette failed to describe symptoms in 1884.,0,0
Tangled is a silent film.,0,0
Finding Dory was penned by Victoria Strouse.,1,1
Multicellular organisms excludes all animals.,0,0
Jean-Michel Basquiat died in his studio.,1,1
Elizabeth of York was the mother of Richard III.,0,0
The cinematography of Far from the Madding Crowd was by an English cinematographer.,1,1
Melilla is a Spanish city.,1,1
Rehab is Amy Winehouse's signature song.,1,1
Jenna Jameson has only been in newspaper advertising.,0,0
Tenacious D started in the 1990's.,1,1
Research is incapable of testing the validity of instruments.,0,0
"Diana, Princess of Wales died of old age in Paris on August 31st, 1997.",0,0
The Times is a newspaper.,1,1
Temple of the Dog is a church.,0,0
Tottenham Hotspur F.C. is a football club.,1,1
Luke Cage is not a superhero.,0,0
Johann Wolfgang von Goethe was friends with Friedrich Schiller in the late 1700s.,1,1
Carol Danvers only appears in German comic books.,0,0
Port of Spain is the capital of a landlocked country.,0,0
The Colosseum is a resort.,0,0
The Invisible Man was only an action film with no science fiction elements.,0,0
"Gory Guerrero died on April 12th, 1990.",0,0
Wentworth Miller is yet to make his screenwriting debut.,0,0
No Country for Old Men was listed.,1,1
"Matt Bomer was born on October 11, 1957.",0,0
Brazzers is based in Canada.,1,1
Two and a Half Men starred Jamie Fox.,0,0
The Bengal tiger is from a region.,1,1
Georges Gilles de la Tourette described symptoms of Tourette's syndrome.,1,1
New Orleans Pelicans compete in the NBA.,1,1
CHiPs is an American romance film.,0,0
Touch My Body is a recorded work.,1,1
The Challenge XXX: Dirty 30 is the thirteenth season of a reality game show.,0,0
Catherine Keener appeared in a movie.,1,1
A thunderstorm is a subclass of storm.,1,1
Yves Saint Laurent lacks the ability to make clothes.,0,0
"In golf, balls are hit into holes by players.",1,1
John Dolmayan is only a chef.,0,0
There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.,1,1
The Monster is a work of art.,1,1
Jack Lowden was in television shows.,1,1
Donna Noble is played by Catherine Tate during the 1980's.,0,0
The Closer's final season was its ninth season.,0,0
Call centers are part of Bank of America.,1,1
Ed and Lorraine Warren were ghost hunters.,1,1
The Nobel Prize in Chemistry was awarded to a person from the Kingdom of the Netherlands.,1,1
Amy Winehouse never died on 23 July 2011.,0,0
Spider-Man 2 was directed by Barack Obama.,0,0
Miranda Otto has yet to begin her acting career.,0,0
Exotic Birds achieved mostly local failure.,0,0
MS-13 is a car.,0,0
Doxycycline may cause heightened risk of sunburn.,1,1
Estonia does not border the Baltic Sea.,0,0
Guns N' Roses is an American hard rock band.,1,1
Scotty Moore was a sandwich engineer.,0,0
Johnny Van Zant is incapable of being a musician.,0,0
Pythagoras was engaged or learned in philosophy.,1,1
Guns N' Roses is a hard rock band.,1,1
Shortness of breath is not one symptom of pulmonary embolism.,0,0
Touch My Body is a song by Fall Out Boy.,0,0
Woodrow Wilson did not live during World War I.,0,0
L.A. Reid has served as the chairman of an American record label group formed in Italy.,0,0
Java is landlocked.,0,0
Mickey Rourke appeared in a film written by Sylvester Stallone.,1,1
Marvel vs. Capcom: Infinite is part of a series.,1,1
Children only get apples from Trick-or-Treating.,0,0
Cambridgeshire's county council is Cambridgeshire County Council.,1,1
The Bassoon King is a mountain.,0,0
Angela Bassett received zero degrees from Yale University.,0,0
Frozen ranks as the second-highest-grossing original film of all time.,0,0
Kenneth Lonergan is the director of Pacific Rim.,0,0
Garden State was an official selection and it was praised.,1,1
The Paper was released in 1995.,0,0
Global warming threatens food security.,1,1
"""Love the Way You Lie"" is Eminem's best-selling single.",1,1
Absinthe is alcohol free.,0,0
Britt Robertson is an actress.,1,1
The Nice Guys was directed by Wally Pfister.,0,0
The American Civil War happened within the United States.,1,1
Hush (2016 film) was not produced by Jason Blum.,0,0
Garden State was an official selection.,1,1
Gin is not a spirit.,0,0
Bonobos live south of the river.,1,1
The Cyclades are an R&B music group.,0,0
John Dolmayan is a person.,1,1
Benjamin Franklin was a person.,1,1
Maria Theresa's father died in October 1740.,1,1
Grease did not come out in 1978.,0,0
Dub music was developed before the 1960s.,0,0
Humphrey Bogart is a professional actor for films.,1,1
Ann Richards was the Governor of Texas from 1991 to 1995.,1,1
Baadshah had at least three languages dubbed over it.,1,1
The Nottingham Forest F.C. is barred from being a football club.,0,0
"In The 100, adults are the first to return to Earth after a devastating nuclear apocalypse.",0,0
I Want to Know What Love Is is a song.,1,1
Times Higher Education World University Rankings is a publication of university rankings by Times Higher Education (THE) magazine.,1,1
Jarhead was based upon the 1957 autobiographical fiction novel On the Road.,0,0
Woodrow Wilson did not live during World War I.,0,0
The Romani people have migrated.,1,1
So You Think You Can Dance is a book.,0,0
Alvin and the Chipmunks is a Canadian film.,0,0
Alvin and the Chipmunks was directed in America.,1,1
The Office (US) ran for nine seasons.,1,1
John Krasinski is a person.,1,1
SpongeBob SquarePants is not a series.,0,0
Manchester by the Sea is a movie.,1,1
Some of the University of Mississippi's students are minorities.,1,1
Joe Rogan appeared in a sitcom.,1,1
Telemundo is incapable of being an American television network.,0,0
Jiang Wen is a Chinese cuisine.,0,0
Michigan is not a U.S. state.,0,0
Talulah Riley appeared in a film.,1,1
French Indochina was a grouping of British colonial territories in Southeast Asia.,0,0
A staging area is only an unused piece of land.,0,0
The Catcher in the Rye is a bar.,0,0
The Hanford Site is incapable of hosting the LIGO Hanford Observatory.,0,0
Betsy Hodges was elected to serve a four-year term.,1,1
"Vic Mensa's date of birth was June 6, 1993.",1,1
One dictator in this world was named Fidel Castro.,1,1
There is a carnival called Camp Flog Gnaw.,1,1
Ted Cruz was miscarried.,0,0
Men in Black II is a 1992 film.,0,0
Finding Dory was directed by someone who is based at anywhere except Pixar.,0,0
DodgeBall: A True Underdog Story was written and directed by Rawson Marshall.,1,1
Qui-Gon Jinn is a nonfiction character.,0,0
WWE employed Shane McMahon.,1,1
Liam Neeson received nominations for three Golden Globe Awards.,1,1
The Fly is a science fiction character.,0,0
Zoe Saldana has always been unemployed.,0,0
Marvel vs. Capcom: Infinite is part of a series.,1,1
Sixteen Primetime Emmy Award nominations have gone to actor Jon Hamm.,1,1
Tilda Swinton is an actress.,1,1
The Good Wife is a movie.,0,0
Stomp the Yard is a movie.,1,1
Stomp the Yard is a movie.,1,1
The American Civil War took place in North America.,1,1
The Pakistan Movement was the result of a lack of transformation in Pakistan.,0,0
James VI and I was a major advocate of a single parliament.,1,1
Animals are part of the History of Earth.,1,1
Simon Pegg is entirely Japanese.,0,0
Firefox is a desktop browser.,1,1
See You on the Other Side is a book.,0,0
Fist of Legend is based on a Stephen Spielberg film.,0,0
The SpongeBob SquarePants Movie stars a cat.,0,0
Dan Brown wrote a 2003 bestselling novel.,1,1
Veep is not a television show.,0,0
Maria Theresa ruled for 40 years.,1,1
The Burj Khalifa is in Southeast Asia.,0,0
Advertising is a type of message.,1,1
Punch-Drunk Love was produced by Revolution Studios and New Line Cinema in 2008.,0,0
Shomu Mukherjee died at the age of 61.,0,0
The Mod Squad is an American band.,0,0
The KGB was a fast food service.,0,0
"Benjamin Franklin finished college on April 17th, 1790.",0,0
The Dark Tower is a film.,1,1
North Vietnam was only called North Vietnam.,0,0
Telemundo is a English-language television network.,0,0
Roland Emmerich is an inactive campaigner.,0,0
Ian Brennan directs.,1,1
Salman Rushdie was accused of plagiarizing a 1981 novel.,0,0
Trouble with the Curve only stars Robin Wright.,0,0
Lost was not on ABC.,0,0
Rob Sheridan is a Canadian graphic designer.,0,0
The Fly is an American novel.,0,0
Spider-Man 2 is a store.,0,0
Azithromycin is not sold under many trade names worldwide.,0,0
Oscar Isaac did not appear in Star Wars: The Force Awakens.,0,0
You Only Live Twice is the first Bond film directed by James Cameron.,0,0
Al Jardine refuses to play all musical instruments.,0,0
Temple Grandin features only male characters.,0,0
Regina King is an actress.,1,1
San Diego Comic-Con was founded in 1990.,0,0
Life is only an idea.,0,0
Kellyanne Conway has been embroiled in a series of controversies.,1,1
The Battle of France happened during World War II.,1,1
Saw II is unreleased.,0,0
Andrew Kevin Walker is a cat.,0,0
Harold Macmillan worked in politics.,1,1
Janelle Monáe has only ever been a plumber.,0,0
Ashley Cole is only Japanese.,0,0
Henry II of France did not suffer an untimely death.,0,0
The Indian National Congress was disbanded in December 1885.,0,0
Knowledge and research in multiple fields is incorporated with Speech recognition.,1,1
Jeong Hyeong-don has worked under an entertainment company.,1,1
"Pharmacology is concerned with the research, discovery, and characterization of chemicals which show biological effects.",1,1
The Daily Show is incapable of focusing on political figures.,0,0
"James, Viscount Severn is the only son of Prince Edward and Sophie, Countess of Wessex.",1,1
Raven-Symoné is an entertainer.,1,1
A United Kingdom is a biographical romantic comedy film.,1,1
"The Prowler was destroyed by Stan Lee, John Buscema, and Jim Mooney.",0,0
Raabta (song) is only from the musical The King and I.,0,0
Fidel Castro was a person.,1,1
Nicholas Brody is played by the actor of the same name.,0,0
PacSun sells products.,1,1
Polar bears have a marine mammal classification.,1,1
"Super Bowl XLV was played before February 6, 2011.",0,0
The Battle of France happened during World War II.,1,1
Knocked Up is a film.,1,1
Coins of the Swiss franc are toys.,0,0
Shawn Carlson was born in 1860.,0,0
"The United Nations Charter is the foundational treaty of the United Nations, signed in 1945.",1,1
Deepika Padukone has only been in one Indian film.,0,0
Luis Fonsi is a Texan.,0,0
Girl is by Beyonce.,0,0
Joe Walsh was written on the official roster of an organization in 2001.,0,0
Stripes featured a person.,1,1
Noel Fisher portrayed a fictional character.,1,1
Lucy Hale works in the entertainment industry.,1,1
Shannon Lee is French.,0,0
Chile is in the western hemisphere.,1,1
A working animal is anything but an animal.,0,0
Woodrow Wilson did not live in part of the 20th century.,0,0
The New York Knicks are in the Prince of Wales Conference of the National Hockey League.,0,0
Cher was released by Geffen Records.,1,1
Aparshakti Khurana is an actor.,1,1
The Boeing 767 is used for flights.,1,1
Honeymoon is Lana Del Rey's fourth single.,0,0
Valencia is in America.,0,0
Larry Wilmore is a person who produces.,1,1
Punch-Drunk Love was distributed by a film studio.,1,1
"Sacre-Coeur, Paris is publicly dedicated to a cult.",0,0
A near-Earth object is one whose orbit brings it into proximity with Earth and it is in the universe.,1,1
James VI and I was a leader.,1,1
Argentina is subdivided into forty-eight cities.,0,0
Reign Over Me is an American film made in 2010.,0,0
Punch-Drunk Love was produced by two studios.,1,1
Aarhus is located on the east coast of the Jutland peninsula.,1,1
Kaya Scodelario performed in teen drama Skins.,1,1
Michaela Watkins is a woman who acts.,1,1
Janet Leigh was a person.,1,1
Temple Grandin stars Claire Danes as Temple Grandin.,1,1
"Sacre-Coeur, Paris is a two-part statue.",0,0
Kentucky inmates who do not choose electrocution and inmates who committed their crimes after the designated date are put to death by lethal injection instead of the electric chair.,1,1
Chile is a nation.,1,1
Tangled is a shoelace.,0,0
The rate of endometrial cancer has changed.,1,1
"Gotham premiered on September 22, 2014.",1,1
Rachel Green is a fictional hat.,0,0
A part of Saw (franchise) is a film.,1,1
The Prowler made his first appearance in The Amazing Spider-Man #68.,0,0
Manchester by the Sea has grossed $74 million.,1,1
Sierra Morena is Spanish.,1,1
Civilization IV received high ratings.,1,1
Smriti Mandhana plays for the Indian men's cricket team.,0,0
Port of Spain is a village.,0,0
Brie Larson is an actress.,1,1
Northwestern University is a private university in Michigan.,0,0
Alexandra Daddario is not an actress.,0,0
Emperor Norton is not immortalized by authors from different countries.,0,0
Janet Leigh was an actress.,1,1
Juventus F.C. is the second oldest ultimate frisbee club in Italy.,0,0
No Country for Old Men is set in the tundra of Alaska.,0,0
Warren Beatty was a co-writer on Heaven Can Wait.,1,1
Battle of the Bastards is a television episode.,1,1
Benjamin Franklin was a person.,1,1
Times Higher Education World University Rankings is a publication of unranked universities.,0,0
"In the year 2009, Rick Ross made a record label.",1,1
Raees (film) stars an Indian film actor born in 1965.,1,1
Diwali is one of the most popular festivals of Hinduism.,1,1
Anushka Sharma starred in a film.,1,1
Epistemology tries to understand the justification of propositions and beliefs.,1,1
Hebe and Heracles were married.,1,1
Color of Night came out in 1994.,1,1
Therasia is a recipe.,0,0
Goosebumps (film) is based on a story by Jane Austen.,0,0
B. R. Ambedkar was born in 1895.,0,0
One Dance was Drake's first number one single in 1998.,0,0
Justin Chatwin is an actor.,1,1
The Faroe Islands existed.,1,1
Benzodiazepine is a type of medicine.,1,1
Tilda Swinton acts.,1,1
Anne Sullivan was a teacher.,1,1
Telephone consists of only verse-refrain.,0,0
The Wonder Years was a bank.,0,0
Mamata Banerjee is an Indian politician.,1,1
Dakota Fanning is incapable of being in film roles.,0,0
Keith Urban was released by a record label based in the United States.,1,1
Backing vocalists provide vocal harmony to another singer.,1,1
The Winds of Winter is an epic fantasy novel.,1,1
Mickey Rourke boycotted the 2011 film Immortals.,0,0
Manchester by the Sea is a movie.,1,1
Noah Cyrus was born in 1992.,0,0
Ann Biderman was denied American citizenship.,0,0
Miranda Otto is the daughter of a horse.,0,0
Chinatown stars John Travolta only.,0,0
"Camden, New Jersey is a city.",1,1
See.SZA.Run is an unrecorded live performance.,0,0
Raees (film) stars no Pakistani actresses.,0,0
Theresa May was elected as MP for a cat.,0,0
Paul von Hindenburg was an officer.,1,1
The Endless River is Pink Floyd's reunion tour.,0,0
Speech recognition incorporates knowledge and research in the computer science fields.,1,1
Elizabeth I was the son of Henry VIII.,0,0
Bonn is the birthplace of Ludwig van Beethoven.,1,1
John Goodman is a person who acts.,1,1
Meteora is an album.,1,1
Vampire Academy is an educational institution.,0,0
Raabta (song) is a song that has only been featured in The Matrix.,0,0
Starrcade was a one-time-only professional wrestling event.,0,0
Topman only sells women's clothing.,0,0
Designated Survivor (TV series) is incapable of being an American political drama.,0,0
Meteora is an album.,1,1
Sarah Hyland is from North America.,1,1
The ability of individuals to connect to the internet is called Internet Access.,1,1
Mani Ratnam is widely credited with altering the profile of Indian cinema.,1,1
The United Nations Charter is the foundational declaration of war of the United Nations.,0,0
Janelle Monáe is a tomato.,0,0
Aphrodite appears in Greek mythology.,1,1
Eva Green had a career in film.,1,1
The Catcher in the Rye is a movie script.,0,0
Carlos Santana disbanded Santana in 1965.,0,0
Absinthe is alcohol free.,0,0
The Colosseum is in Beijing.,0,0
"Kellyanne Conway has not used the phrase ""alternative facts.""",0,0
The Bahamas is a domestically recognized state that comprises a series of islands that form an archipelago.,1,1
"Prescott, Arizona is a place.",1,1
Southpaw is only a sports drama book.,0,0
The Giver is only a book.,0,0
Antigua is an airport.,0,0
Sonny & Cher was made up of two completely unacquainted people.,0,0
Magic Johnson was not a point guard.,0,0
Georges Gilles de la Tourette described symptoms of Tourette's syndrome.,1,1
The Sterile Cuckoo was adapted from a biography by John Nichols.,0,0
Tottenham Hotspur F.C. is a basketball team.,0,0
"Watchmen is a film about a group of mostly retired American superheroes, who investigate a murder.",1,1
