"url","label","anthropic_raw","deepseek_raw","gemini_raw","openai_raw","anthropic_vote","deepseek_vote","gemini_vote","openai_vote","phish_ensemble"
"https://qgcbbay.cn","0","1","0","1","1","1","-1","1","1","1"
"bank-americaverify.github.io","0","1","1","1","1","1","1","1","1","1"
"https://kakunin.azzq-manxmo4n.icu/","0","1","1","1","1","1","1","1","1","1"
"https://forms.office.com/Pages/ResponsePage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAAMAACa_CgtUMlpUVFc1VENEU0ZWVENYU01aSlJNN0VFQi4u","0","0","0","0","0","-1","-1","-1","-1","0"
"punternet.com/forum/index.php/topic/16207-anyone-a-girl-who-can-clench-her-pussy-muscles/","1","0","0","1","0","-1","-1","1","-1","0"
"uk.ask.com/wiki/Peru_national_football_team","1","0","0","0","0","-1","-1","-1","-1","0"
"le52.icu","0","1","1","1","1","1","1","1","1","1"
"mysite.verizon.net/vze7ayi1/kw.htm","1","1","0","1","1","1","-1","1","1","1"
"http://aplacetofloat.com/where-to-float/listing/spacetime-tanks","1","0","0","0","0","-1","-1","-1","-1","0"
"http://ugfzkscqzl.duckdns.org/","0","1","0","1","1","1","-1","1","1","1"
"localschooldirectory.com/district-schools/101260303/Albert-Gallatin-Area-School-District/PA","1","0","0","0","0","-1","-1","-1","-1","0"
"traleedynamos.com/","1","0","0","0","0","-1","-1","-1","-1","0"
"youtube.com/watch?v=B9nztnpSiPg","1","0","0","0","0","-1","-1","-1","-1","0"
"straightup.ch/~kaiser/includes/.dd/8e86bdc22fbb89d7d337ae50e15d22ea/webscr.htm","0","1","0","1","1","1","-1","1","1","1"
"https://dhlgpi.com/absalogin.htm","0","1","1","1","1","1","1","1","1","1"
"test.uvkoladiya.com/Https-/-/VotreEcpaceAbonne/Facture-80109658644-identifiez-vous2016/trust@france.freemobile.fr/mobile.fr-esspace_identification-bienvenue-dans_votre_espaceabonne_moncompte/","0","1","1","1","1","1","1","1","1","1"
"imdb.com/video/imdb/vi513934105/","1","0","0","0","0","-1","-1","-1","-1","0"
"https://ameozon.cqitjjk.cn/","0","1","1","1","1","1","1","1","1","1"
"en-gb.facebook.com/fraserjgibson","1","0","0","0","0","-1","-1","-1","-1","0"
"redefinemag.com/music/interviews_music_2.php?artist=Rogue-Wave&id=54","1","0","0","0","0","-1","-1","-1","-1","0"
"www3.50megs.com/vshadows","1","1","0","1","1","1","-1","1","1","1"
"https://vteeddddd.000webhostapp.com/s/ocnmails1-0.html","0","1","0","1","1","1","-1","1","1","1"
"napless-cement.000webhostapp.com","0","1","0","1","1","1","-1","1","1","1"
"en.wikipedia.org/wiki/Claude_Tousignant","1","0","0","0","0","-1","-1","-1","-1","0"
"www.cosmos.com.mx/tex.htm","1","0","0","0","1","-1","-1","-1","1","0"
"paypal.com.cgi.bin.gfgkdmkg564546sqdfsdfjhfd.ultramed.com.au/90ba245da97d671298bcfd6dedd457e1/","0","1","1","1","1","1","1","1","1","1"
"rtf98mn.tk","0","1","0","1","1","1","-1","1","1","1"
"childpsychologistminneapolis.com/wp-content/convit/","0","1","0","1","1","1","-1","1","1","1"
"http://www.linfo.org/server.html","1","0","0","0","0","-1","-1","-1","-1","0"
"ditillo2.blogspot.com/2009/09/louis-cyr-w-pullum.html","1","0","0","0","0","-1","-1","-1","-1","0"
"newswire.ca/en/story/679947/astral-now-calls-downtown-montreal-home-the-building-located-at-1800-mcgill-college-avenue-becomes-maison-astral","1","0","0","0","0","-1","-1","-1","-1","0"
"safraempresas.site","0","1","1","1","1","1","1","1","1","1"
"http://www.medtronic.com/content/dam/medtronic-com-m/mdt/cardio/documents/cv-diagnosis-crosswalks-1a.pdf","1","0","0","0","0","-1","-1","-1","-1","0"
"https://118.27.21.73","0","1","0","0","1","1","-1","-1","1","0"
"paypallimited.myvnc.com","0","1","1","1","1","1","1","1","1","1"
"www.itee.uq.edu.au/~smith/book.html","1","0","0","0","0","-1","-1","-1","-1","0"
"www.superaje.com/~canuck/tlc/","1","1","0","0","0","1","-1","-1","-1","0"
"www.governmentauctions.org/blog/?feed=rss2","1","0","0","0","0","-1","-1","-1","-1","0"
"connectutilities.com/directory/services/IndianaMichiganPowerCo(dbaAEP).html","1","1","0","0","0","1","-1","-1","-1","0"
